TraitID,Trait,ObsNum,ObsGRNum,AccSpecNum
2973,Branch calcium (Ca) content per dry mass,30,30,5
447,Branch carbon (C) content per branch dry mass,43,10,31
840,Branch coarse woody debris (CWD) calcium (Ca) content per branch CWD dry mass,81,79,15
841,Branch coarse woody debris (CWD) carbon (C) content per branch CWD dry mass,83,81,11
842,Branch coarse woody debris (CWD) carbon/nitrogen (C/N) ratio ,139,137,30
843,Branch coarse woody debris (CWD) cellulose content per branch CWD dry mass,1,1,1
844,Branch coarse woody debris (CWD) copper (Cu) content per branch CWD dry mass,33,33,8
845,Branch coarse woody debris (CWD) decomposition rate ,182,161,43
846,Branch coarse woody debris (CWD) decomposition rate constant ,394,376,64
847,Branch coarse woody debris (CWD) density,76,76,20
848,Branch coarse woody debris (CWD) hemicellulose content per branch CWD dry mass,2,0,1
849,Branch coarse woody debris (CWD) iron (Fe) content per branch CWD dry mass,38,38,9
850,Branch coarse woody debris (CWD) lignin content per branch CWD dry mass,8,6,6
851,Branch coarse woody debris (CWD) lignin/nitrogen (lignin/N) ratio ,20,18,3
852,Branch coarse woody debris (CWD) magnesium (Mg) content per branch CWD dry mass,80,78,14
853,Branch coarse woody debris (CWD) manganese (Mn) content per branch CWD dry mass,47,47,10
854,Branch coarse woody debris (CWD) nitrogen (N) content per branch CWD dry mass,160,158,23
855,Branch coarse woody debris (CWD) phosphorus (P) content per branch CWD dry mass,89,87,16
856,Branch coarse woody debris (CWD) potassium (K) content per branch CWD dry mass,95,93,19
857,Branch coarse woody debris (CWD) rot type,5,5,3
858,Branch coarse woody debris (CWD) sodium (Na) content per branch CWD dry mass,7,7,4
859,Branch coarse woody debris (CWD) sulfur (S) content per branch CWD dry mass,36,36,8
860,Branch coarse woody debris (CWD) zinc (Zn) content per branch CWD dry mass,35,35,6
2974,Branch copper (Cu) content per dry mass,30,30,5
3067,Branch crossectional fraction of fiber,291,291,105
3065,Branch crossectional fraction of parenchyma,292,292,106
3066,Branch crossectionalfraction of conduits (vessels),292,292,106
448,Branch dry mass per ground area,161,26,11
449,Branch dry mass per plant (alive; dead),1772,1169,21
137,Branch dry mass per plant dry mass,40,40,37
2975,Branch iron (Fe) content per dry mass,30,30,5
2976,Branch magnesium (Mg) content per dry mass,30,30,5
2977,Branch manganese (Mn) content per dry mass,30,30,5
450,Branch nitrogen (N) content per branch dry mass,72,57,11
443,Branch nitrogen (N) content per branch dry mass per leaf nitrogen (N) content per leaf dry mass,1,1,1
451,Branch nitrogen (N) content per ground area,6,6,1
452,Branch nitrogen (N) content per plant,3,3,1
861,Branch number of secondary branches at first branching,2365,2365,34
862,Branch number per height along the shoot axis,4103,4103,5
863,Branch phosphorus (P) content per branch dry mass ,31,30,6
864,Branch potassium (K) content per branch dry mass,31,30,6
442,Branch respiration rate per branch dry mass,104,104,5
444,Branch respiration rate per branch nitrogen (N) content,54,54,2
446,Branch respiration rate per branch surface area,100,100,4
453,Branch respiration rate per branch volume,2,2,1
445,Branch respiration temperature dependence,80,80,2
2978,Branch sulfur (S) content per dry mass,30,30,5
2979,Branch zinc (Zn) content per dry mass,30,30,5
3102,Buds: bud source,370,0,174
153,Buds: budbank height distribution,77138,0,2894
865,Buds: budbank seasonality,42224,0,2860
3104,Buds: leaf-buds frost hardiness,71,0,40
3105,Buds: mean date of budburst,6,6,1
3103,Buds: physical defence,16,0,10
1625,Coarse root 12 phenol content per coarse root C content,14,14,1
643,Coarse root aluminium (Al) content per coarse root dry mass,12,11,4
649,Coarse root antimony (Sb) content per coarse root dry mass,1,1,1
1609,Coarse root arabinans content per coarse root dry mass,7,7,2
657,Coarse root arsenic (As) content per coarse root dry mass,1,1,1
1611,Coarse root bound phenol content per coarse root C content,14,14,1
651,Coarse root cadmium (Cd) content per coarse root dry mass,1,1,1
641,Coarse root calcium (Ca) content per coarse root dry mass,1,1,1
1544,Coarse root calcium (Ca) content per coarse root dry mass,72,71,16
456,Coarse root carbon (C) content per coarse root dry mass,26,4,22
1527,Coarse root carbon (C) content per coarse root dry mass,41,39,10
1761,Coarse root carbon (C) content per ground area,52,52,4
166,Coarse root carbon/nitrogen (C/N) ) ratio,46,46,46
1545,Coarse root carbon/nitrogen (C/N) ratio,92,90,13
1599,Coarse root cellulose and hemicellulose content per coarse root dry mass,7,7,2
1529,Coarse root cellulose content per coarse root dry mass,7,7,2
658,Coarse root chromium (Cr) content per coarse root dry mass,1,1,1
1612,Coarse root cinnamyl phenol content per coarse root C content,2,2,1
1605,Coarse root Cl- ion content per coarse root dry mass,4,4,1
1057,Coarse root coarse woody debris (CWD) calcium (Ca) content per dry mass,33,30,9
1058,Coarse root coarse woody debris (CWD) carbon (C) content per dry mass,16,16,11
1059,Coarse root coarse woody debris (CWD) carbon/nitrogen (C/N) ratio,11,11,7
1060,Coarse root coarse woody debris (CWD) cellulose content per dry mass,4,4,4
1061,Coarse root coarse woody debris (CWD) decomposition rate,23,15,12
1062,Coarse root coarse woody debris (CWD) decomposition rate constant,82,74,19
1063,Coarse root coarse woody debris (CWD) density,34,34,5
1064,Coarse root coarse woody debris (CWD) lignin content per dry mass,4,4,4
1065,Coarse root coarse woody debris (CWD) lignin/nitrogen (N) ratio,9,9,5
1066,Coarse root coarse woody debris (CWD) magnesium (Mg) content per dry mass,32,29,8
1067,Coarse root coarse woody debris (CWD) manganese (Mn) content per dry mass,5,2,3
1262,Coarse root coarse woody debris (CWD) nitrogen (N) content per dry mass,43,40,15
1068,Coarse root coarse woody debris (CWD) phosphorus (P) content per dry mass,33,30,9
1069,Coarse root coarse woody debris (CWD) potassium (K) content per dry mass,33,30,9
1070,Coarse root coarse woody debris (CWD) rot type,5,5,1
1071,Coarse root coarse woody debris (CWD) sodium (Na) content per dry mass,1,1,1
1072,Coarse root coarse woody debris (CWD) wood fraction,1,1,1
1073,Coarse root coarse woody debris (CWD) zinc (Zn) content per dry mass,2,2,2
654,Coarse root copper (Cu) content per coarse root dry mass,7,7,2
1563,Coarse root cortex thickness,2,2,2
1759,Coarse root density on screen: number of coarse roots per area of in-growth screen,3,3,1
1526,Coarse root diameter,65,58,21
1750,Coarse root dry mass fraction in respective root diameter class,12,12,2
1751,Coarse root dry mass fraction in respective root order,4,4,1
457,Coarse root dry mass per ground area,2644,2642,54
458,Coarse root dry mass per plant,1555,1501,111
465,Coarse root dry mass per plant dry mass,10,10,4
1698,Coarse root dry mass turnover,4,4,1
1699,Coarse root dry mass turnover rate,112,111,39
1571,Coarse root fraction of metaxylem cell wall thickness to vessel diameter,3,3,1
1572,Coarse root fraction of protoxylem cell wall thickness to vessel diameter,3,3,1
1614,Coarse root free phenols content per coarse root C content,14,14,1
1615,Coarse root galactans content per coarse root dry mass,7,7,2
1675,Coarse root growth: coarse root C production per ground area and time,39,39,4
1679,Coarse root growth: coarse root dry mass production per ground area per day,20,20,2
1678,Coarse root growth: coarse root dry mass production per ground area per duration of exposition,20,20,2
1676,Coarse root growth: coarse root dry mass production per ground area per year,104,103,39
1682,Coarse root growth: coarse root elongation,30,30,1
1685,Coarse root growth: coarse root length production per ground area per year,37,37,2
1694,Coarse root growth: coarse root surface area produced per ground area per year,7,7,1
1681,Coarse root growth: fraction of coarse root number that has elongated since last measurement to tota,30,30,1
1598,Coarse root hemicellulose content per coarse root dry mass,7,7,2
644,Coarse root iron (Fe) content per coarse root dry mass,12,11,4
652,Coarse root lead (Pb) content per coarse root dry mass,1,1,1
1768,Coarse root length density (RLD): coarse root length per ground area,11,11,2
1752,Coarse root length fraction in respective root diameter class,7,7,2
1550,Coarse root length per coarse root dry mass (specific coarse root length; SRL),31,31,10
1769,Coarse root length per soil volume,4,4,1
1718,Coarse root length: distance from coarse root base to tip,12,12,7
1658,Coarse root lifespan: fraction of coarse roots that live to the age in �coarse root age�,19,19,1
1528,Coarse root lignin content per coarse root dry mass,11,11,3
1616,Coarse root lignin phenol content per coarse root C content,14,14,1
1776,Coarse root lignin phenol vegetation index,2,2,1
642,Coarse root magnesium (Mg) content per coarse root dry mass,68,67,19
1559,Coarse root manganese (Mn) content per coarse root dry mass,17,17,4
1619,Coarse root mannans content per coarse root dry mass,7,7,2
1534,Coarse root mass fraction (fraction of coarse root dry mass per whole plant dry mass),1175,1175,84
648,Coarse root mercury (Hg) content per coarse root dry mass,1,1,1
1579,Coarse root metaxylem cell wall thickness,3,3,1
1576,Coarse root metaxylem vessel diameter,3,3,1
650,Coarse root molybdenum (Mo) content per coarse root dry mass,1,1,1
1664,Coarse root mortality: coarse root dry mass mortality per ground area and time,3,3,3
1762,Coarse root necromass (dead dry mass) per ground area for specified soil depth increment,57,57,6
1774,Coarse root necromass to biomass ratio,53,53,6
653,Coarse root nickel (Ni) content per coarse root dry mass,1,1,1
459,Coarse root nitrogen (N) content per coarse root dry mass,146,144,27
455,Coarse root nitrogen (N) content per ground area,46,46,4
1732,Coarse root nitrogen (N) uptake per ground area per year,24,24,1
1573,Coarse root number of tracheary elements per crossection,4,4,1
1624,Coarse root p-hydroxy phenol content per coarse root C content,2,2,1
620,Coarse root phosphorus (P) content per coarse root dry mass,89,86,19
646,Coarse root potassium (K) content per coarse root dry mass,77,76,18
1580,Coarse root protoxylem cell wall thickness,3,3,1
1578,Coarse root protoxylem vessel diameter,3,3,1
1639,Coarse root ratio of 3;5-dihydroxybenzoic acid groups to vanillyl phenols,2,2,1
1637,Coarse root ratio of number of acid groups to number of aldehyde groups in syringyl phenols,2,2,1
1638,Coarse root ratio of number of acid groups to number of aldehyde groups in vanillyl phenols,2,2,1
1641,Coarse root ratio of of cinnamyl phenol to vanillyl phenol,2,2,1
1645,Coarse root ratio of of syringyl phenol to vanillyl phenol,2,2,1
1646,Coarse root ratio of vanillyl phenol to lignin phenol,2,2,1
1535,Coarse root respiration rate per coarse root dry mass,6,6,4
1628,Coarse root rhamnans content per coarse root dry mass,7,7,2
1521,Coarse root rooting depth,11,11,2
1773,Coarse root rooting depth: fraction of coarse root dry mass contained in depth interval,32,32,1
1560,Coarse root silicon (Si) content per coarse root dry mass,4,4,1
645,Coarse root sodium (Na) content per coarse root dry mass,14,14,4
1606,Coarse root sodium (Na+) ion content per coarse root dry mass,4,4,1
1613,Coarse root soluble ethanol content per coarse root dry mass,7,7,2
1569,Coarse root stele diameter,5,5,1
1568,Coarse root stele fraction: stele diameter divided by coarse root diameter,12,5,5
647,Coarse root sulfur (S) content per coarse root dry mass,25,25,5
1754,Coarse root surface area fraction in respective root order,4,4,1
1557,Coarse root surface area per coarse root dry mass (specific coarse root area),30,30,8
1630,Coarse root syringyl phenol content per coarse root C content,2,2,1
655,Coarse root thallium (Ti) content per coarse root dry mass,1,1,1
1525,Coarse root tissue density (coarse root dry mass per coarse root volume),22,22,5
1019,Coarse root to fine root mass ratio,1728,1645,136
1536,Coarse root total non-structural carbon (TNC) content per coarse root dry mass,2,0,1
1632,Coarse root vanillyl phenol content per coarse root C content,2,2,1
1633,Coarse root water or ethanol soluble compounds per coarse root dry mass,7,7,2
1634,Coarse root water soluble compounds per coarse root dry mass,7,7,2
1636,Coarse root xylans content per coarse root dry mass,7,7,2
1575,Coarse root xylem vessel density in stele: number of xylem vessels per square millimeter of coarse r,2,2,1
656,Coarse root zinc (Zn) content per coarse root dry mass,7,7,2
867,Coarse woody debris (CWD) calcium (Ca) content per CWD dry mass,35,35,1
868,Coarse woody debris (CWD) carbon (C) content per CWD dry mass,42,18,1
432,Coarse woody debris (CWD) carbon/nitrogen (C/N) ratio,37,0,32
426,Coarse woody debris (CWD) cellulose content per CWD dry mass,30,0,26
869,Coarse woody debris (CWD) decomposition rate,36,0,36
871,Coarse woody debris (CWD) density,68,68,1
425,Coarse woody debris (CWD) lignin content per CWD dry mass,93,39,27
874,Coarse woody debris (CWD) magnesium (Mg) content per CWD dry mass,35,35,1
875,Coarse woody debris (CWD) manganese (Mn) content per CWD dry mass,13,13,1
876,Coarse woody debris (CWD) nitrogen (N) content per CWD dry mass,108,84,1
878,Coarse woody debris (CWD) phosphorus (P) content per CWD dry mass,72,72,1
879,Coarse woody debris (CWD) potassium (K) content per CWD dry mass,35,35,1
882,Coarse woody debris (CWD) sodium (Na) content per CWD dry mass,16,16,1
2981,Cone (strobilus) calcium (Ca) content per cone dry mass,13,13,3
2982,Cone (strobilus) copper (Cu) content per cone dry mass,13,13,3
885,Cone (strobilus) diameter,1525,1524,22
2983,Cone (strobilus) iron (Fe) content per cone dry mass,13,13,3
886,Cone (strobilus) length,1511,1510,22
887,Cone (strobilus) litter nitrogen (N) per cone litter dry mass,56,56,2
2985,Cone (strobilus) magnesium (Mg) content per cone dry mass,13,13,3
2986,Cone (strobilus) manganese (Mn) content per cone dry mass,13,13,3
888,Cone (strobilus) mass,1509,1508,22
1020,Cone (strobilus) mass per plant,325,325,6
2987,Cone (strobilus) nitrogen (N) content per cone dry mass,13,13,3
2988,Cone (strobilus) phosphorus (P) content per cone dry mass,13,13,3
2984,Cone (strobilus) potassium (K) content per cone dry mass,13,13,3
2989,Cone (strobilus) sulfur (S) content per cone dry mass,13,13,3
2990,Cone (strobilus) zinc (Zn) content per cone dry mass,13,13,3
3054,Cotyledon area,65,65,11
3056,Cotyledon area per cotyledon dry mass (specific leaf area (SLA) of cotyledons),65,65,11
674,Cotyledon carbon (C) content per cotyledon dry mass,20,0,10
3050,Cotyledon dry mass,141,141,13
3055,Cotyledon dry mass per cotyledon fresh mass (cotyledon LDMC),58,58,10
3051,Cotyledon dry mass per plant,72,72,13
3053,Cotyledon fresh mass,58,58,10
667,Cotyledon nitrogen (N) content per cotyledon dry mass,20,0,10
3049,Cotyledons number per plant,142,142,13
20,Crown (canopy) area per plant,328,328,152
889,Crown (canopy) base height (ground to base),156,156,15
722,Crown (canopy) density,10,10,10
3047,Crown (canopy) exposure index,802,802,56
480,Crown (canopy) ground area fraction covered by projected canopy,42,42,4
773,Crown (canopy) height (base to top),291,291,109
324,Crown (canopy) length: diameter along the longest axis,6562,5075,531
807,Crown (canopy) mass per ground area,10,10,10
501,Crown (canopy) nitrogen (N) content per ground area,6,6,1
489,Crown (canopy) radiation extinction coefficient,6,6,3
436,Crown (canopy) rainfall (water) interception ,6,1,5
36,Crown (canopy) surface roughness,31,0,31
749,Crown (canopy) transpiration,8,8,2
2814,Crown (canopy) volume,192,192,51
325,Crown (canopy) width,6439,5053,536
193,Dispersal distance,189,0,140
890,Dispersal frequenzy,321,0,240
3127,Dispersal kernel measurement (relative abundance and given distance),5320,0,130
891,Dispersal probability,11,11,11
28,Dispersal syndrome,376552,6145,21518
892,Dispersal unit appendages,13679,0,2603
392,Dispersal unit color,47,47,46
233,Dispersal unit dry mass,5121,248,1681
893,Dispersal unit exposure ,2662,0,2568
1263,Dispersal unit floating capacity,159702,0,1352
237,Dispersal unit length,19094,165,2956
895,Dispersal unit seed or fruit,93,93,81
232,Dispersal unit shape,10831,0,2823
894,Dispersal unit surface structure,1712,0,1671
235,Dispersal unit thickness ,12541,138,2396
231,Dispersal unit type,195107,48,6073
236,Dispersal unit width,15087,213,2768
763,Fern spore length,24,0,10
767,Fern spore mass,10,0,10
766,Fern spore volume,10,0,10
764,Fern spore width,41,0,29
1975,Fine root acid phosphatase activity per fine root dry mass,167,167,29
1904,Fine root alkyl carbon (C) content per fine root carbon (C) content,4,4,4
1797,Fine root aluminium (Al) content per fine root dry mass,55,53,10
1986,Fine root ammonium (NH4+) uptake per fine root dry mass per hour,4,4,1
1987,Fine root ammonium (NH4+) uptake per fine root fresh mass per hour,6,6,3
1865,Fine root arabinans content per fine root dry mass,3,3,3
2012,Fine root area index (RAI): fine root surface area per ground area,123,123,5
1906,Fine root aromatic carbon (C) content per fine root carbon (C) content,4,4,4
1798,Fine root arsenic (As) content per fine root dry mass,14,14,8
1863,Fine root ash carbon (C) content per fine root carbon (C) content,11,11,11
1866,Fine root ash content per fine root dry mass,11,11,11
1860,Fine root boron (B) content per fine root dry mass,8,8,2
1842,Fine root branching intensity by length: number of root tips devided by total fine root length,9,9,4
1799,Fine root cadmium (Cd) content per fine root dry mass,6,6,6
1800,Fine root calcium (Ca) content per fine root dry mass,174,165,44
1982,Fine root calcium (Ca) turnover per ground area per year,2,2,1
471,Fine root carbon (C) content per fine root dry mass,139,117,81
2004,Fine root carbon (C) content to leaf C content ratio,70,54,23
2017,Fine root carbon content per ground area,112,112,12
2016,Fine root carbon content per soil dry mass,6,6,2
167,Fine root carbon/nitrogen (C/N) ratio,384,321,176
1855,Fine root cellulose and hemicellulose content per fine root dry mass,3,3,3
423,Fine root cellulose carbon (C) content per fine root carbon (C) content,12,0,12
1785,Fine root cellulose content per fine root dry mass,49,49,44
1802,Fine root chromium (Cr) content per fine root dry mass,6,6,6
1971,Fine root color,2,2,1
1856,Fine root construction cost per fine root dry mass,18,18,18
1803,Fine root copper (Cu) content per fine root dry mass,38,31,13
1818,Fine root crossectional fraction of aerenchyma,13,13,13
1826,Fine root crossectional fraction of stele area to fine root area,13,13,13
2031,Fine root debris decomposition rate constant ,36,36,19
2015,Fine root density on screen: number of fine roots per area of in-growth screen,86,86,1
896,Fine root diameter,1372,1255,339
